t,x,tf
1.0112641,0.02,3.4461353
1.0212766,0.02,3.3142405
1.0312891,0.02,3.1924703
1.0413016,0.02,3.0795767
1.0513141,0.02,2.9745836
1.0613266,0.02,2.876702
1.0713391,0.02,2.7852767
1.0813516,0.02,2.6997502
1.0913641,0.02,2.6196406
1.1013767,0.02,2.544525
1.1113892,0.02,2.4740274
1.1214018,0.02,2.407811
1.1314143,0.02,2.3455713
1.1414268,0.02,2.2870326
1.1514393,0.02,2.231942
1.1614518,0.02,2.1800678
1.1714643,0.02,2.1311977
1.1814768,0.02,2.0851345
1.1914895,0.02,2.0416965
1.2015018,0.02,2.0007155
1.2115144,0.02,1.9620348
1.2215269,0.02,1.9255086
1.2315394,0.02,1.8910015
1.2415519,0.02,1.8583868
1.2515644,0.02,1.8275464
1.2615769,0.02,1.79837
1.2715895,0.02,1.7707546
1.281602,0.02,1.7446034
1.2916145,0.02,1.7198262
1.301627,0.02,1.6963383
1.3116395,0.02,1.6740601
1.321652,0.02,1.652917
1.3316646,0.02,1.6328394
1.3416771,0.02,1.6137615
1.3516896,0.02,1.5956218
1.3617022,0.02,1.5783623
1.3717147,0.02,1.5619289
1.3817272,0.02,1.5462703
1.3917397,0.02,1.5313385
1.4017522,0.02,1.5170885
1.4117647,0.02,1.503478
1.4217772,0.02,1.490467
1.4317899,0.02,1.4780179
1.4418023,0.02,1.4660956
1.4518148,0.02,1.4546669
1.4618273,0.02,1.4437006
1.4718398,0.02,1.4331675
1.4818523,0.02,1.4230399
1.4918648,0.02,1.4132919
1.5018773,0.02,1.4038992
1.5118899,0.02,1.3948389
1.5219024,0.02,1.3860894
1.531915,0.02,1.3776306
1.5419275,0.02,1.3694434
1.55194,0.02,1.3615099
1.5619525,0.02,1.3538134
1.571965,0.02,1.3463382
1.5819775,0.02,1.3390692
1.59199,0.02,1.3319929
1.6020025,0.02,1.3250961
1.612015,0.02,1.3183665
1.6220275,0.02,1.3117929
1.63204,0.02,1.3053644
1.6420525,0.02,1.2990711
1.652065,0.02,1.2929033
1.6620775,0.02,1.2868526
1.67209,0.02,1.2809105
1.6821027,0.02,1.2750694
1.6921152,0.02,1.2693222
1.7021277,0.02,1.2636621
1.7121402,0.02,1.258083
1.7221527,0.02,1.2525789
1.7321652,0.02,1.2471445
1.7421777,0.02,1.2417748
1.7521904,0.02,1.2364651
1.7622027,0.02,1.2312112
1.7722152,0.02,1.2260089
1.7822278,0.02,1.2208548
1.7922403,0.02,1.2157452
1.8022528,0.02,1.210677
1.8122653,0.02,1.2056475
1.8222778,0.02,1.2006538
1.8322904,0.02,1.1956936
1.8423029,0.02,1.1907648
1.8523154,0.02,1.1858652
1.8623279,0.02,1.180993
1.8723404,0.02,1.1761466
1.882353,0.02,1.1713246
1.8923655,0.02,1.1665256
1.902378,0.02,1.1617484
1.9123905,0.02,1.156992
1.9224031,0.02,1.1522553
1.9324156,0.02,1.1475378
1.9424281,0.02,1.1428387
1.9524406,0.02,1.1381574
1.9624531,0.02,1.1334934
1.9724656,0.02,1.1288464
1.9824781,0.02,1.1242161
1.9924908,0.02,1.1196022
2.0025032,0.02,1.1206331
2.0125158,0.02,1.1236185
2.0225282,0.02,1.127239
2.0325408,0.02,1.1308674
2.0425532,0.02,1.1340699
2.0525658,0.02,1.1365564
2.0625782,0.02,1.1381295
2.0725908,0.02,1.1386635
2.0826032,0.02,1.1380852
2.0926158,0.02,1.1363639
2.1026282,0.02,1.133499
2.1126409,0.02,1.1295172
2.1226532,0.02,1.1244628
2.1326659,0.02,1.1183964
2.1426783,0.02,1.1113881
2.152691,0.02,1.1035172
2.1627035,0.02,1.0948676
2.1727161,0.02,1.085526
2.1827285,0.02,1.0755806
2.1927412,0.02,1.0651193
2.2027535,0.02,1.0542272
2.2127662,0.02,1.0429876
2.2227786,0.02,1.0314795
2.2327912,0.02,1.0197772
2.2428036,0.02,1.0079505
2.2528162,0.02,0.996064
2.2628286,0.02,0.9841763
2.2728412,0.02,0.9723406
2.2828536,0.02,0.9606045
2.2928662,0.02,0.94901013
2.3028786,0.02,0.9375941
2.3128912,0.02,0.9263879
2.3229036,0.02,0.9154185
2.3329163,0.02,0.9047078
2.3429286,0.02,0.8942738
2.3529413,0.02,0.88413054
2.3629537,0.02,0.8742886
2.3729663,0.02,0.8647552
2.3829787,0.02,0.8555351
2.3929913,0.02,0.84663016
2.4030037,0.02,0.8380403
2.4130163,0.02,0.8297634
2.4230287,0.02,0.82179594
2.4330413,0.02,0.8141329
2.4430537,0.02,0.80676836
2.4530663,0.02,0.79969525
2.4630787,0.02,0.7929061
2.4730914,0.02,0.78639257
2.483104,0.02,0.7801463
2.4931166,0.02,0.77415854
2.503129,0.02,0.7684202
2.5131416,0.02,0.7629224
2.523154,0.02,0.7576564
2.5331666,0.02,0.752613
2.543179,0.02,0.7477839
2.5531917,0.02,0.7431605
2.563204,0.02,0.73873454
2.5732167,0.02,0.734498
2.583229,0.02,0.7304434
2.5932417,0.02,0.726563
2.603254,0.02,0.72284997
2.6132667,0.02,0.71929735
2.623279,0.02,0.71589863
2.6332917,0.02,0.7126476
2.643304,0.02,0.7095385
2.6533167,0.02,0.7065657
2.6633291,0.02,0.7037237
2.6733418,0.02,0.7010076
2.6833541,0.02,0.69841254
2.6933668,0.02,0.695934
2.7033792,0.02,0.6935676
2.7133918,0.02,0.6913094
2.7234044,0.02,0.6891555
2.733417,0.02,0.6871023
2.7434294,0.02,0.6851467
2.753442,0.02,0.68328536
2.7634544,0.02,0.6815155
2.773467,0.02,0.6798344
2.7834795,0.02,0.67823964
2.793492,0.02,0.67672896
2.8035045,0.02,0.67530024
2.813517,0.02,0.67395175
2.8235295,0.02,0.67268175
2.833542,0.02,0.6714889
2.8435545,0.02,0.67037165
2.8535671,0.02,0.6693288
2.8635795,0.02,0.6683594
2.8735921,0.02,0.6674626
2.8836045,0.02,0.6666373
2.8936172,0.02,0.6658829
2.9036295,0.02,0.6651987
2.9136422,0.02,0.664584
2.9236546,0.02,0.6640382
2.9336672,0.02,0.6635609
2.9436796,0.02,0.66315156
2.9536922,0.02,0.66280967
2.9637046,0.02,0.6625347
2.9737172,0.02,0.66232634
2.9837296,0.02,0.662184
2.9937422,0.02,0.6621072
3.0037546,0.02,0.6709088
3.0137672,0.02,0.6790706
3.0237796,0.02,0.6866354
3.0337923,0.02,0.69364685
3.043805,0.02,0.70014733
3.0538175,0.02,0.70617694
3.06383,0.02,0.7117732
3.0738425,0.02,0.716971
3.083855,0.02,0.72180253
3.0938675,0.02,0.7262977
3.10388,0.02,0.7304839
3.1138926,0.02,0.7343865
3.123905,0.02,0.73802894
3.1339176,0.02,0.7414328
3.14393,0.02,0.7446181
3.1539426,0.02,0.7476033
3.163955,0.02,0.75040555
3.1739676,0.02,0.7530407
3.18398,0.02,0.7555233
3.1939926,0.02,0.7578672
3.204005,0.02,0.76008487
3.2140176,0.02,0.762188
3.22403,0.02,0.7641876
3.2340426,0.02,0.7660936
3.244055,0.02,0.76791555
3.2540677,0.02,0.769662
3.26408,0.02,0.7713412
3.2740927,0.02,0.7729607
3.2841053,0.02,0.77452755
3.294118,0.02,0.7760482
3.3041303,0.02,0.77752876
3.314143,0.02,0.77897483
3.3241553,0.02,0.7803918
3.334168,0.02,0.7817846
3.3441803,0.02,0.78315765
3.354193,0.02,0.78451526
3.3642054,0.02,0.7858615
3.374218,0.02,0.7871999
3.3842304,0.02,0.78853405
3.394243,0.02,0.78986704
3.4042554,0.02,0.79120195
3.414268,0.02,0.7925415
3.4242804,0.02,0.7938883
3.434293,0.02,0.7952447
3.4443054,0.02,0.79661304
3.454318,0.02,0.7979954
3.4643304,0.02,0.7993936
3.474343,0.02,0.8008095
3.4843554,0.02,0.8022448
3.494368,0.02,0.80370104
3.5043805,0.02,0.80517966
3.514393,0.02,0.80668205
3.5244055,0.02,0.8082094
3.534418,0.02,0.8097629
3.5444305,0.02,0.81134355
3.5544431,0.02,0.81295234
3.5644555,0.02,0.8145903
3.5744681,0.02,0.81625813
3.5844805,0.02,0.8179567
3.5944932,0.02,0.8196866
3.6045058,0.02,0.8214486
3.6145184,0.02,0.82324326
3.6245308,0.02,0.8250711
3.6345434,0.02,0.8269327
3.6445558,0.02,0.82882845
3.6545684,0.02,0.8307587
3.6645808,0.02,0.83272386
3.6745934,0.02,0.83472425
3.6846058,0.02,0.8367602
3.6946185,0.02,0.83883196
3.7046309,0.02,0.8409397
3.7146435,0.02,0.8430836
3.7246559,0.02,0.8452639
3.7346685,0.02,0.84748065
3.744681,0.02,0.849734
3.7546935,0.02,0.852024
3.764706,0.02,0.8543507
3.7747185,0.02,0.8567141
3.784731,0.02,0.85911435
3.7947435,0.02,0.8615513
3.804756,0.02,0.86402494
3.8147686,0.02,0.8665352
3.824781,0.02,0.869082
3.8347936,0.02,0.87166524
3.8448062,0.02,0.87428486
3.8548188,0.02,0.87694067
3.8648312,0.02,0.8796325
3.8748438,0.02,0.88236016
3.8848562,0.02,0.8851236
3.8948689,0.02,0.8879225
3.9048812,0.02,0.89075667
3.9148939,0.02,0.8936258
3.9249063,0.02,0.89652973
3.9349189,0.02,0.8994682
3.9449313,0.02,0.9024408
3.954944,0.02,0.90544736
3.9649563,0.02,0.9084875
3.974969,0.02,0.91156095
3.9849813,0.02,0.9146673
3.994994,0.02,0.91780615
4.005006,0.02,2.8473482
4.0150185,0.02,3.2343373
4.025031,0.02,3.4629831
4.0350432,0.02,3.5694451
4.045056,0.02,3.632718
4.0550685,0.02,3.6693258
4.065081,0.02,3.6921244
4.0750933,0.02,3.706488
4.0851064,0.02,3.7158272
4.095119,0.02,3.7220018
4.1051316,0.02,3.7261698
4.115144,0.02,3.7290347
4.1251564,0.02,3.7310438
4.135169,0.02,3.7324836
4.1451817,0.02,3.7335405
4.155194,0.02,3.7343383
4.1652064,0.02,3.734959
4.175219,0.02,3.7354574
4.1852317,0.02,3.7358713
4.195244,0.02,3.7362266
4.2052565,0.02,3.7365403
4.215269,0.02,3.736825
4.2252817,0.02,3.737089
4.235294,0.02,3.737338
4.2453065,0.02,3.7375765
4.255319,0.02,3.737807
4.2653317,0.02,3.7380316
4.275344,0.02,3.738252
4.2853565,0.02,3.7384684
4.295369,0.02,3.7386823
4.305382,0.02,3.738894
4.315394,0.02,3.7391033
4.325407,0.02,3.7393107
4.3354197,0.02,3.7395167
4.3454323,0.02,3.7397213
4.3554444,0.02,3.739924
4.365457,0.02,3.7401252
4.3754697,0.02,3.740325
4.3854823,0.02,3.7405226
4.3954945,0.02,3.740719
4.405507,0.02,3.7409139
4.4155197,0.02,3.7411067
4.4255323,0.02,3.741298
4.4355445,0.02,3.7414875
4.445557,0.02,3.741675
4.4555697,0.02,3.7418604
4.4655824,0.02,3.7420442
4.4755945,0.02,3.7422256
4.485607,0.02,3.7424052
4.49562,0.02,3.7425823
4.5056324,0.02,3.7427576
4.5156446,0.02,3.7429304
4.525657,0.02,3.7431006
4.53567,0.02,3.7432687
4.5456824,0.02,3.7434342
4.5556946,0.02,3.7435973
4.565707,0.02,3.743758
4.57572,0.02,3.743916
4.5857325,0.02,3.744071
4.5957446,0.02,3.7442236
4.605757,0.02,3.7443733
4.61577,0.02,3.7445202
4.6257825,0.02,3.744664
4.6357946,0.02,3.7448053
4.6458073,0.02,3.7449431
4.65582,0.02,3.745078
4.6658325,0.02,3.74521
4.6758447,0.02,3.7453387
4.6858573,0.02,3.745464
4.69587,0.02,3.7455866
4.7058825,0.02,3.7457056
4.7158947,0.02,3.7458215
4.7259073,0.02,3.7459338
4.73592,0.02,3.746043
4.7459326,0.02,3.7461486
4.7559447,0.02,3.7462509
4.7659574,0.02,3.746349
4.77597,0.02,3.7464442
4.7859826,0.02,3.7465355
4.7959948,0.02,3.7466235
4.8060074,0.02,3.7467074
4.81602,0.02,3.746788
4.8260326,0.02,3.7468646
4.836045,0.02,3.746938
4.8460574,0.02,3.7470071
4.85607,0.02,3.7470722
4.8660827,0.02,3.747134
4.876095,0.02,3.7471917
4.8861074,0.02,3.7472453
4.89612,0.02,3.7472954
4.9061327,0.02,3.7473414
4.916145,0.02,3.7473834
4.9261575,0.02,3.7474213
4.93617,0.02,3.7474556
4.9461827,0.02,3.7474859
4.956195,0.02,3.7475119
4.9662075,0.02,3.7475343
4.97622,0.02,3.7475524
4.9862328,0.02,3.7475665
4.996245,0.02,3.7475767
5.0062575,0.02,3.589818
5.01627,0.02,3.4461403
5.026283,0.02,3.314244
5.036295,0.02,3.1924713
5.0463076,0.02,3.0795739
5.05632,0.02,2.974576
5.066333,0.02,2.8766882
5.076345,0.02,2.7852557
5.0863576,0.02,2.6997206
5.09637,0.02,2.6196015
5.106383,0.02,2.5444748
5.116395,0.02,2.4739652
5.1264076,0.02,2.4077353
5.1364202,0.02,2.3454814
5.146433,0.02,2.286927
5.156445,0.02,2.2318196
5.1664577,0.02,2.179928
5.1764703,0.02,2.1310391
5.186483,0.02,2.0849564
5.196495,0.02,2.0414982
5.206508,0.02,2.0004957
5.216521,0.02,1.9617925
5.2265334,0.02,1.9252431
5.2365456,0.02,1.8907119
5.246558,0.02,1.8580724
5.256571,0.02,1.8272066
5.2665834,0.02,1.7980043
5.2765956,0.02,1.7703621
5.286608,0.02,1.7441837
5.296621,0.02,1.7193786
5.3066335,0.02,1.6958622
5.3166456,0.02,1.6735551
5.3266582,0.02,1.6523827
5.336671,0.02,1.6322753
5.3466835,0.02,1.6131674
5.3566957,0.02,1.5949973
5.3667083,0.02,1.577707
5.376721,0.02,1.5612426
5.3867335,0.02,1.5455527
5.3967457,0.02,1.5305897
5.4067583,0.02,1.5163083
5.416771,0.02,1.5026661
5.4267836,0.02,1.4896233
5.4367957,0.02,1.4771423
5.446809,0.02,1.4651883
5.4568214,0.02,1.4537277
5.466834,0.02,1.4427297
5.476846,0.02,1.4321649
5.486859,0.02,1.4220057
5.4968715,0.02,1.4122262
5.506884,0.02,1.4028022
5.5168962,0.02,1.3937107
5.526909,0.02,1.3849304
5.5369215,0.02,1.3764409
5.546934,0.02,1.3682232
5.5569463,0.02,1.3602594
5.566959,0.02,1.352533
5.5769715,0.02,1.345028
5.586984,0.02,1.3377299
5.5969963,0.02,1.3306247
5.607009,0.02,1.3236995
5.6170216,0.02,1.316942
5.627034,0.02,1.3103406
5.6370463,0.02,1.3038851
5.647059,0.02,1.2975651
5.6570716,0.02,1.2913711
5.667084,0.02,1.2852947
5.6770964,0.02,1.2793273
5.687109,0.02,1.2734615
5.6971216,0.02,1.2676901
5.7071342,0.02,1.2620063
5.7171464,0.02,1.256404
5.727159,0.02,1.2508775
5.7371716,0.02,1.2454212
5.7471843,0.02,1.2400302
5.7571964,0.02,1.2346997
5.767209,0.02,1.2294257
5.7772217,0.02,1.224204
5.7872343,0.02,1.2190309
5.7972465,0.02,1.2139031
5.807259,0.02,1.2088175
5.8172717,0.02,1.203771
5.8272843,0.02,1.1987611
5.8372965,0.02,1.1937854
5.847309,0.02,1.1888416
5.8573217,0.02,1.1839278
5.8673344,0.02,1.179042
5.8773465,0.02,1.1741828
5.887359,0.02,1.1693485
5.897372,0.02,1.1645378
5.9073844,0.02,1.1597496
5.9173965,0.02,1.1549829
5.927409,0.02,1.1502367
5.937422,0.02,1.1455103
5.9474344,0.02,1.1408031
5.9574466,0.02,1.1361142
5.967459,0.02,1.1314434
5.977472,0.02,1.1267902
5.9874845,0.02,1.1221542
5.9974966,0.02,1.1175355
6.007509,0.02,1.1183286
6.017522,0.02,1.1210132
6.0275345,0.02,1.124312
6.0375466,0.02,1.1276151
6.0475593,0.02,1.1304998
6.057572,0.02,1.1326838
6.0675845,0.02,1.1339748
6.0775967,0.02,1.1342506
6.0876093,0.02,1.1334404
6.097622,0.02,1.1315143
6.1076345,0.02,1.1284733
6.1176467,0.02,1.124343
6.1276593,0.02,1.1191682
6.137672,0.02,1.1130078
6.1476846,0.02,1.1059315
6.1576967,0.02,1.0980169
6.1677094,0.02,1.0893463
6.177722,0.02,1.0800048
6.1877346,0.02,1.070079
6.1977468,0.02,1.0596544
6.2077594,0.02,1.0488148
6.217772,0.02,1.0376416
6.2277846,0.02,1.0262117
6.237797,0.02,1.0145984
6.24781,0.02,1.0028694
6.2578225,0.02,0.9910875
6.267835,0.02,0.9793104
6.2778473,0.02,0.9675898
6.28786,0.02,0.9559723
6.2978725,0.02,0.9444987
6.307885,0.02,0.9332048
6.3178973,0.02,0.9221214
6.32791,0.02,0.9112745
6.3379226,0.02,0.9006854
6.347935,0.02,0.8903718
6.3579473,0.02,0.8803471
6.36796,0.02,0.87062156
6.3779726,0.02,0.8612022
6.387985,0.02,0.85209334
6.3979974,0.02,0.84329695
6.40801,0.02,0.83481264
6.4180226,0.02,0.8266385
6.4280353,0.02,0.81877077
6.4380474,0.02,0.81120455
6.44806,0.02,0.8039336
6.4580727,0.02,0.79695135
6.4680853,0.02,0.7902502
6.4780974,0.02,0.783822
6.48811,0.02,0.7776584
6.4981227,0.02,0.77175045
6.5081353,0.02,0.7660897
6.5181475,0.02,0.7606671
6.52816,0.02,0.75547385
6.5381727,0.02,0.7505013
6.5481853,0.02,0.7457408
6.5581975,0.02,0.741184
6.56821,0.02,0.73682284
6.5782228,0.02,0.7326494
6.5882354,0.02,0.72865605
6.5982475,0.02,0.72483546
6.60826,0.02,0.7211806
6.618273,0.02,0.71768475
6.6282854,0.02,0.7143416
6.6382976,0.02,0.71114475
6.6483107,0.02,0.7080885
6.6583233,0.02,0.7051673
6.668336,0.02,0.702376
6.678348,0.02,0.6997094
6.6883607,0.02,0.69716287
6.6983733,0.02,0.694732
6.708386,0.02,0.6924125
6.718398,0.02,0.69020027
6.7284107,0.02,0.6880916
6.7384233,0.02,0.686083
6.748436,0.02,0.6841713
6.758448,0.02,0.6823532
6.7684608,0.02,0.680626
6.7784734,0.02,0.67898697
6.788486,0.02,0.67743385
6.798498,0.02,0.6759642
6.808511,0.02,0.67457616
6.8185234,0.02,0.67326784
6.828536,0.02,0.67203754
6.838548,0.02,0.670884
6.848561,0.02,0.66980565
6.8585734,0.02,0.6688015
6.868586,0.02,0.6678703
6.878598,0.02,0.6670112
6.888611,0.02,0.66622347
6.8986235,0.02,0.66550624
6.908636,0.02,0.6648588
6.9186482,0.02,0.6642808
6.928661,0.02,0.66377115
6.9386735,0.02,0.6633297
6.948686,0.02,0.66295594
6.9586983,0.02,0.66264915
6.968711,0.02,0.662409
6.9787235,0.02,0.6622351
6.988736,0.02,0.66212684
6.9987483,0.02,0.66208386
7.008761,0.02,0.67089343
7.0187736,0.02,0.6790626
7.028786,0.02,0.68663454
7.0387983,0.02,0.69365305
7.048811,0.02,0.7001607
7.0588236,0.02,0.7061976
7.068836,0.02,0.71180147
7.0788484,0.02,0.7170071
7.088861,0.02,0.7218468
7.0988736,0.02,0.7263505
7.1088862,0.02,0.7305455
7.1188984,0.02,0.7344574
7.128911,0.02,0.7381094
7.1389236,0.02,0.7415233
7.1489363,0.02,0.7447191
7.1589484,0.02,0.7477151
7.168961,0.02,0.75052863
7.1789737,0.02,0.75317544
7.1889863,0.02,0.75567013
7.1989985,0.02,0.75802636
7.209011,0.02,0.76025677
7.2190237,0.02,0.76237303
7.2290363,0.02,0.76438606
7.2390485,0.02,0.76630586
7.249061,0.02,0.76814187
7.2590737,0.02,0.76990277
7.2690864,0.02,0.7715967
7.2790985,0.02,0.77323127
7.289111,0.02,0.77481335
7.299124,0.02,0.77634954
7.3091364,0.02,0.77784586
7.3191485,0.02,0.7793081
7.329161,0.02,0.7807414
7.339174,0.02,0.7821507
7.3491864,0.02,0.7835405
7.3591986,0.02,0.7849151
7.3692117,0.02,0.7862784
7.3792243,0.02,0.7876342
7.389237,0.02,0.7889858
7.399249,0.02,0.7903365
7.4092617,0.02,0.7916893
7.4192743,0.02,0.79304683
7.429287,0.02,0.7944118
7.439299,0.02,0.7957865
7.4493117,0.02,0.79717326
7.4593244,0.02,0.7985741
7.469337,0.02,0.79999095
7.479349,0.02,0.80142564
7.489362,0.02,0.8028798
7.4993744,0.02,0.80435497
7.509387,0.02,0.80585265
7.519399,0.02,0.8073741
7.529412,0.02,0.8089206
7.5394244,0.02,0.8104933
7.549437,0.02,0.81209326
7.559449,0.02,0.8137214
7.569462,0.02,0.8153787
7.5794744,0.02,0.817066
7.589487,0.02,0.818784
7.599499,0.02,0.8205334
7.609512,0.02,0.8223149
7.6195245,0.02,0.8241291
7.629537,0.02,0.8259765
7.6395493,0.02,0.82785755
7.649562,0.02,0.8297728
7.6595745,0.02,0.83172256
7.669587,0.02,0.8337072
7.6795993,0.02,0.83572716
7.689612,0.02,0.83778256
7.6996245,0.02,0.83987373
7.709637,0.02,0.8420009
7.7196493,0.02,0.8441642
7.729662,0.02,0.8463638
7.7396746,0.02,0.84859985
7.749687,0.02,0.8508724
7.7596993,0.02,0.85318154
7.769712,0.02,0.8555274
7.7797246,0.02,0.85790986
7.789737,0.02,0.86032903
7.7997494,0.02,0.86278486
7.809762,0.02,0.86527723
7.8197746,0.02,0.8678062
7.8297873,0.02,0.8703716
7.8397994,0.02,0.8729733
7.8498125,0.02,0.8756113
7.859825,0.02,0.8782854
7.8698378,0.02,0.8809954
7.87985,0.02,0.88374114
7.8898625,0.02,0.8865224
7.899875,0.02,0.8893391
7.909888,0.02,0.8921909
7.9199,0.02,0.8950775
7.9299126,0.02,0.8979988
7.939925,0.02,0.9009545
7.949938,0.02,0.90394413
7.95995,0.02,0.9069676
7.9699626,0.02,0.9100244
7.979975,0.02,0.9131143
7.989988,0.02,0.91623694
8.0,0.02,2.8467438
0.0,0.04,1.0
0.010012516,0.04,2.172071
0.020025032,0.04,2.6411548
0.030037548,0.04,2.9653037
0.040050063,0.04,3.1497622
0.05006258,0.04,3.2686534
0.060075097,0.04,3.3436515
0.07008761,0.04,3.392848
0.08010013,0.04,3.4253535
0.09011264,0.04,3.4472477
0.10012516,0.04,3.462177
0.11013767,0.04,3.4725132
0.12015019,0.04,3.4797757
0.1301627,0.04,3.484966
0.14017522,0.04,3.4887466
0.15018773,0.04,3.491562
0.16020025,0.04,3.4937117
0.17021278,0.04,3.4954002
0.18022528,0.04,3.4967675
0.1902378,0.04,3.4979095
0.20025031,0.04,3.4988935
0.21026284,0.04,3.4997656
0.22027534,0.04,3.5005581
0.23028786,0.04,3.5012944
0.24030039,0.04,3.5019894
0.2503129,0.04,3.502655
0.26032543,0.04,3.5032995
0.27033794,0.04,3.503927
0.28035045,0.04,3.5045428
0.29036295,0.04,3.5051494
0.3003755,0.04,3.5057487
0.310388,0.04,3.5063415
0.3204005,0.04,3.5069292
0.330413,0.04,3.507512
0.34042555,0.04,3.508091
0.35043806,0.04,3.5086656
0.36045057,0.04,3.5092366
0.37046307,0.04,3.5098033
0.3804756,0.04,3.5103664
0.39048812,0.04,3.5109255
0.40050063,0.04,3.5114806
0.41051313,0.04,3.5120316
0.42052567,0.04,3.5125778
0.43053818,0.04,3.5131195
0.44055068,0.04,3.5136566
0.4505632,0.04,3.5141888
0.46057573,0.04,3.5147161
0.47058824,0.04,3.5152383
0.48060077,0.04,3.515755
0.49061328,0.04,3.5162659
0.5006258,0.04,3.5167713
0.5106383,0.04,3.5172706
0.52065086,0.04,3.5177636
0.5306634,0.04,3.5182505
0.5406759,0.04,3.5187309
0.5506884,0.04,3.5192044
0.5607009,0.04,3.5196717
0.5707134,0.04,3.520131
0.5807259,0.04,3.5205839
0.5907384,0.04,3.5210292
0.600751,0.04,3.5214667
0.6107635,0.04,3.5218968
0.620776,0.04,3.5223188
0.6307885,0.04,3.522733
0.640801,0.04,3.523139
0.6508135,0.04,3.5235357
0.660826,0.04,3.5239246
0.67083853,0.04,3.5243046
0.6808511,0.04,3.524676
0.6908636,0.04,3.5250385
0.7008761,0.04,3.5253916
0.7108886,0.04,3.5257356
0.72090113,0.04,3.52607
0.73091364,0.04,3.5263946
0.74092615,0.04,3.5267096
0.75093865,0.04,3.5270147
0.7609512,0.04,3.5273101
0.7709637,0.04,3.5275953
0.78097624,0.04,3.5278707
0.79098874,0.04,3.5281348
0.80100125,0.04,3.528389
0.81101376,0.04,3.5286326
0.82102627,0.04,3.5288653
0.8310388,0.04,3.5290878
0.84105134,0.04,3.5292988
0.85106385,0.04,3.5294993
0.86107635,0.04,3.5296886
0.87108886,0.04,3.529867
0.88110137,0.04,3.530034
0.8911139,0.04,3.5301898
0.9011264,0.04,3.5303342
0.9111389,0.04,3.5304673
0.92115146,0.04,3.5305889
0.93116397,0.04,3.530699
0.9411765,0.04,3.5307972
0.951189,0.04,3.5308845
0.96120155,0.04,3.5309594
0.97121406,0.04,3.531023
